planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
HD 207496 b,HD 207496,2.25,6.1,6.441008,743.0,4819.0,72.9,0.0,0
HD 207897 b,HD 207897,2.501,14.4,16.202159,632.2,5070.0,26.5,0.0627297969701008,0
HD 219134 b,HD 219134,1.602,4.74,3.092926,1015.0,4699.0,176.2,0.0,0
HD 219134 c,HD 219134,1.511,4.36,6.76458,782.0,4699.0,62.1,0.0,0
HD 219134 d,HD 219134,1.61,16.17,46.859,410.5,4699.0,4.72,0.434749390533552,0
HD 219134 f,HD 219134,1.31,7.3,22.717,522.6,4699.0,12.38,0.34427019066541176,0
HD 22946 d,HD 22946,2.607,26.57,47.42489,546.0,6169.0,18.561,0.1680323949056411,0
HD 23472 b,HD 23472,2.0,8.32,17.667087,543.0,4684.0,16.0,0.23189102564102565,0
HD 23472 c,HD 23472,1.87,3.41,29.79749,467.0,4684.0,7.96,0.3997932359649627,0
HD 23472 d,HD 23472,0.75,0.55,3.97664,909.0,4684.0,117.0,0.0,0
HD 23472 e,HD 23472,0.818,0.72,7.90754,723.0,4684.0,46.7,0.28401543993231804,0
HD 23472 f,HD 23472,1.137,0.77,12.1621839,630.0,4684.0,26.3,0.43275468176845355,0
HD 25463 b,HD 25463,2.62,8.5,7.049144,1290.0,6220.0,461.4,0.0,0
HD 25463 c,HD 25463,1.5,4.1,3.04405,1707.0,6220.0,1413.5,0.0,0
HD 260655 b,HD 260655,1.24,2.14,2.76953,709.0,3803.0,42.2,0.19740017753659597,0
HD 260655 c,HD 260655,1.533,3.09,5.70588,557.0,3803.0,16.1,0.31917098377232705,0
HD 3167 b,HD 3167,1.7,5.02,0.959641,1608.0,5261.0,1625.0,0.0,0
HD 3167 b,HD 3167,1.67,4.97,0.959641,1774.0,5261.0,1650.0,0.0,0
HD 3167 c,HD 3167,3.01,9.8,29.8454,511.0,5261.0,16.6,0.2205577967621157,0
HD 3167 c,HD 3167,3.0,11.13,29.8454,564.0,5261.0,16.9,0.14362084456424076,0
HD 332231 b,HD 332231,9.718203,77.55052,18.71204,876.0,6089.0,98.09,0.0,0
HD 5278 b,HD 5278,2.45,7.8,14.339156,943.0,6203.0,132.0,0.0,0
HD 6061 b,HD 6061,2.45,10.8,5.254467,1194.0,5920.0,339.1,0.0,0
HD 63935 b,HD 63935,2.99,10.8,9.058811,911.0,5534.0,115.6,0.0,0
HD 63935 c,HD 63935,2.9,11.1,21.4023,684.0,5534.0,36.7,0.0,0
HD 73583 b,HD 73583,2.79,10.2,6.398042,714.0,4511.0,43.3,0.0,0
HD 73583 b,HD 73583,2.84,15.9,6.3980661,742.7,4582.0,46.2,0.0,0
